,Reviews,Bank
0,Rbl bank credit card no response for customer an very bad service Emi tenure rate High Roung bill showing anytime soon no likes this rbl credit card an first an last,RBL-Bank-Fun-Credit-Card
1,I am eligible RBL credit card but I have no received card application was under processing last 30 days,RBL-Bank-Fun-Credit-Card
2,Don’t go for this credit card at all even if they gives any rewards to use it,RBL-Bank-Fun-Credit-Card
3,They only professional to cheat you by putting fake charges and fake customers care commitments,RBL-Bank-Fun-Credit-Card
4,Overall conclusion is the person who use this credit card is a real fool or dumb,RBL-Bank-Fun-Credit-Card
5,I sent a mail to customer  care service  because declined  money  not refunded.No body called me till now,RBL-Bank-Fun-Credit-Card
6,10 days over,RBL-Bank-Fun-Credit-Card
7,I just want to close this card.very very poor customer  care,RBL-Bank-Fun-Credit-Card
8,Koi bhi rbl bank me ac na khulwaye ye aapka data bank detail bechti hai mere sath fraud hua mera data kisi scamer ko de Diya scamer ne call Kiya or mera card na or card limit bataya or bola aapka card limit badha dunga me bola nhi chiye to gali dene laga fir dusre din mere credit card se 34900 rupe debit kar liya rbl bank ko complin kiya to bole 180 din me investigatin kar ke bata dunga or ab bol rahi aapke mobile se OTP ke dwara pese nikle Hain  ye bank ka card lene ka matalb hai apna ghar bech ke inko pese do koi bhi Inka card na le nhi to aapka data bech degi or aapke sare acount ke pese uda lenge me bihar se hu mere card se mumbai me shoping kiya or card mere sath hai me screen shot bhi diya hu jo mumbai me shoping hua,RBL-Bank-Fun-Credit-Card
9,I have used all the branded credit cards but RBL is pathetic and worstest credit card service.,RBL-Bank-Fun-Credit-Card
10,I applied paisa on demand card which was mentioned on paisabazar that it would be life time free.,RBL-Bank-Fun-Credit-Card
11,After calling to RBL credit card they said your card is not life time and I shouted on them to make it life time then they did.,RBL-Bank-Fun-Credit-Card
12,"RBL bank don't allow the customers to see past statements, Your reward points and your cashback they intentionally hide it from their customers so that customer can't check what cashback and reward point they are earning or not.suprisingly they claimed to provide 1% flat cash back on all transactions but I don't receive and when I call the RBL credit card they make me fool that your cash back will be credit in the next statement. And since last 6 months i am not getting any update about my cashback and they are not providing it.",RBL-Bank-Fun-Credit-Card
13,Please don't use RBL bank credit cards paisabazaar and bank bazaar they make fool all their customers. Always check online reviews before applying any credit card. I am preparing to file a court case against RBL soon to teach them a lession.,RBL-Bank-Fun-Credit-Card
14,"I strongly recommended all those who want to take RBL CARD PLS PLS DO NOT TAKE THIS CARD even you fail / forgot to pay cc bills they will call you 100 times , they never listen to the customer and even they charged huge amount of penalty and charges I have a proof you can check it , they r making a trap for you",RBL-Bank-Fun-Credit-Card
15,I have been with them since 2017 and this is I missed on payment and they text me and harasing me make payment or they will come to my home. Even I have card with ICICI they never haras you at all.,RBL-Bank-Fun-Credit-Card
16,They called and said it is free of charge. And once you send your adhar card they will issue the card and charge you annual fees + gst. When I said I will complain the executive said please dont do that as they will lose the job. At that time I thought let's leave it but when I see it here they are doing this with everyone,RBL-Bank-Fun-Credit-Card
17,I will not recommend this Card. I have not used  yet. I had tried too many ways to cancel this RBL Card at the beginning I lost my time and peaceful mind. Now they charging 999+ GST. For one year. Still iam trying to cancel this,RBL-Bank-Fun-Credit-Card
18,Froud credit card bank they are applying too much of extra fees and charges. Customer care also worst. I asked why did you put charges and fees they told me membership charge. Nearly 1000 rs membership charge. Worst credit card. So don't take credit card in this bank,RBL-Bank-Fun-Credit-Card
19,Pls I suggest you to do not take this card they cut any amt from your card,RBL-Bank-Fun-Credit-Card
20,From last 3 year I already lost many amt in this fake RBL credit card,RBL-Bank-Fun-Credit-Card
21,"I mistake I made i made downloaded Bajaj Finserv app I wanted buy buy products though EMI option I chosen wrong company any way initially to activate that festive card they said have to pay one time 499 so I paid it, later some one called me said you have to take Bajaj health insurance otherwise I can't use that card for that I paid 799, later I haven't used single rupee on that card but after one month I got a message that I have a due amount of 1768 thay said it's one time anul feedon't wanted to loose my CIBIL score I paid that too",RBL-Bank-Fun-Credit-Card
22,I request you all never choose RBL credit card it's a worst credit card company I have ever seen I can't even give a star for this worst company,RBL-Bank-Fun-Credit-Card
23,"Dear indians,",RBL-Bank-Fun-Credit-Card
24,Never ever buy this card.I have a good financial knowledge and I can compare all the interest rate. This guys called me and said false information and misguided me. Its totally a fraudulent act but we cant go against this mafia gangs.,RBL-Bank-Fun-Credit-Card
25,Do you guys beleive what interest rate this guys apply.Its way more than a local per day money financier.,RBL-Bank-Fun-Credit-Card
26,7.63% / month on used amount. Which is around 91.56% per annum guys.They are a curse to human race in india.Middle class people never buy this card you may go to lower middle class or even poor.I am using sbi credit card axis credit card. Guys believe I have never paid etc money above used credit .I used to pay the whole money before due date. Thats really the best way to use credit cards.But this guys give statement with interest already added. they are really shame for india. definitely they will get paid for all the people curse in their life time.,RBL-Bank-Fun-Credit-Card
27,"Some people are saying they didn't get reward points and such minor problems. Nothing against those reviews, but I think it is reducing the gravity of how un-imaginably terrible this RBL and its credit card is.  RBL people call every day and harass after the payment date to pay the already payed amount!.",RBL-Bank-Fun-Credit-Card
28,"1st month I got this call from RBL agent and he said its my fault for paying through google pay & talked very rude as if I have done something illegal.(mind you they them self is offering this gateway, it's on their site)",RBL-Bank-Fun-Credit-Card
29,"So I started using their recommended razorpay(which I do not wanna use, but forced by these people).",RBL-Bank-Fun-Credit-Card
30,"But no change!. For a week they will call for the already payed money saying they didn't get it.( from different different agents and numbers, SMS, emails with treats that they will report you to credit raters and government.)",RBL-Bank-Fun-Credit-Card
31,"They made me even pay 1 Rs many time again through their most user unfriendly site saying I didn't pay 10 paisa.(Kidd you not, not at all exaggerating). I pay entire money in their bill, I have no doubt, but they will call saying 10paisa is less!.",RBL-Bank-Fun-Credit-Card
32,"I pay my bills on time, as I do not like drama not even a bit. But this people harass you to pay a bill that you already payed and this harassments continue for at least a week every single month.(that for just 3000rs emi bill. 1st thing I will do when I get some lump sum money is to close this and I think that's their aim since they will get all the fee and interests for free. I am sure there is some ulterior motive for this kind of harassment.)",RBL-Bank-Fun-Credit-Card
33,"I usually do not write any reviews, but this harassment is so bad I need to scream it some where.",RBL-Bank-Fun-Credit-Card
34,The card services are good.,RBL-Bank-Fun-Credit-Card
35,But the redemption agency given the contract is a fraud agency!,RBL-Bank-Fun-Credit-Card
36,That will never redem redeem your points and will not send the products to you.,RBL-Bank-Fun-Credit-Card
37,Please set assured that you will never get points redeemed in any means.,RBL-Bank-Fun-Credit-Card
38,Please do not go for this card if you are thinking about redemption.,RBL-Bank-Fun-Credit-Card
39,Very fraud services of redemption of points.,RBL-Bank-Fun-Credit-Card
40,I have approximately 65000 points I tried to redeem but the webmasters removed the credit points from the products so that the customer should not be aware about the credit points for redemption immediately when I started redeeming my points.,RBL-Bank-Fun-Credit-Card
41,These people say the Rate of Interest is very less compared to other credit cards.,RBL-Bank-Fun-Credit-Card
42,"But the thing is they charge you extra, as interest and financial charges.",RBL-Bank-Fun-Credit-Card
43,"When I got to know about this fraud, I requested them to deactivate my card. And their executive said that the card is deactivated and I will not receive any call or email for annual maintenance changes.",RBL-Bank-Fun-Credit-Card
44,"Now, every year I get a call and emails from their support saying the card is only blocked and not deactivated. And I should pay the maintenance changes even if I am not using the card.",RBL-Bank-Fun-Credit-Card
45,"They say that I am not using the card for 2 years, and even then I should pay the maintenance fee.",RBL-Bank-Fun-Credit-Card
46,"We cannot reach their customer care executive as they only have an IVR system that is of no use, because there is no option set for the card deactivation.",RBL-Bank-Fun-Credit-Card
47,I recommend people not to use the RBL credit Card. As this card is co-branded with Bajaj Finserv which already has bad customer support.,RBL-Bank-Fun-Credit-Card
48,"If you have any issues, you will not be able to reach any of the customer support executives, and you will end up paying more.",RBL-Bank-Fun-Credit-Card
49,The worst card you can ever have.  They will do all mis selling,RBL-Bank-Fun-Credit-Card
50,I was told 20000reward points as welcome gift if I spend 2000,RBL-Bank-Fun-Credit-Card
51,But it is a lie,RBL-Bank-Fun-Credit-Card
52,This is worst and poor bank I have ever seen for Rs.2000 they can harass you from 7am to 7pm at least 100 calls.no barrier for harassment/they can not run bank without 2000 rupees and after paying also they wont stop harassing never use any service from this bank if you love peace they can reach to your office fo 2000 rupees,RBL-Bank-Fun-Credit-Card
